toki pona, significado
kama pona, Bienvenido
toki, Hola
toki a, ¡Hola!
mi pona tan ni: mi sona e sina, Encantado de conocerte
mi tawa, Adiós
sina pilin seme?, ¿Cómo estás?
tenpo mute la mi lukin ala e sina, Hace mucho tiempo que no te veo
nimi sina li seme?, ¿Cómo te llamas?
nimi mi li..., Mi nombre es...
sina tan ma seme?, ¿De donde eres?
mi tan ma Ipanja, Soy de España
tenpo suno pona, Buenos días
pimeja pona, Buenas tardes
lape pona, Buenas noches
ken la, Quizás
sina sona ala sona e ni?, ¿Sabes esto?
mi sona, Lo sé
mi sona ala, No lo sé
o toki kepeken tenpo mute, Habla más despacio
o toki sin e ni, Por favor repítelo
o sitelen e ni, Por favor escríbelo
sina toki ala toki e toki Ipanja?, ¿Hablas español?
sina sona ala sona e toki pona?, ¿Sabes toki pona?
mi sona lili e toki pona, Sé un poco de toki pona
coche li seme lon toki pona?, ¿Cómo se dice coche en toki pona?
coche li nimi tomo tawa lon toki pona, Coche se dice "tomo tawa" en toki pona
o weka e ike mi, Perdona
mi weka e ike sina, Te perdono
