palabra,significado,id
kama pona,bienvenido
toki,¡Hola!
sina pilin seme?,¿Como estas?
tenpo mute la mi lukin ala e sina,Hace mucho que no te veo
nimi sina li seme?,¿Como te llamas?
nimi mi li...,Me llamo...
sina tan ma seme?,¿De donde eres?
mi tan ma,Soy de...
mi kama tan ma,Vengo de...
mi pona tan ni: mi sona e sina,Encantado de conocerte
tenpo suno pona,Buenos dias
pimeja pona,Buenas tardes
lape pona,Buenas noches
mi tawa,Adiós
o pona!,Buena suerte
nasa pona!,Salud!
tenpo suno ni o pona tawa sina,Que tengas un buen dia
tawa pona,Buen viaje
ken la,Quizá
sina sona ala sona?,¿Me entiendes?
mi sona,Te entendí
mi sona ala,No te entendí
o toki kepeken tenpo mute,Habla mas despacio
o toki sin e ni,"Por favor, repite de nuevo"
o sitelen e ni,"Por favor, escríbelo"
sina toki ala toki e toki Ipanja?,¿Hablas Español?
sina sona ala sona e toki pona?,¿Sabes toki pona?
sina toki ala toki e toki pona?,¿Hablas toki pona?
mi sona lili,Sé un poco
o toki tawa mi kepeken toki pona,Hablame usando toki pona
...li seme lon toki pona?,¿Como dices... en toki pona?
o weka e ike mi,Perdona
mi pakala,Lo siento
mi wile,Por favor
tomo telo li lon seme?,¿Donde esta el baño?
sine wile tawa musi poka mi?,¿Quieres bailar conmigo?
mi weka e sina,Te echo de menos
